ID,Paper,Links
1,"Cano P, Mejia A, De Gyves Avila S, Dominguez G, Moreno I and Lepe A. 2021. A Taxonomy on Continuous Integration and Deployment Tools and Frameworks New Perspectives in Software Engineering. 10.1007/978-3-030-63329-5_22, (323-336),",http://link.springer.com.proxy.bnl.lu/10.1007/978-3-030-63329-5_22
2,"Abdalkareem R, Mujahid S, Shihab E and Rilling J. Which Commits Can Be CI Skipped?. IEEE Transactions on Software Engineering. 10.1109/TSE.2019.2897300, 47:3, (448-463)",https://ieeexplore-ieee-org.proxy.bnl.lu/document/8633335/
3,"Gallaba K and McIntosh S. Use and Misuse of Continuous Integration Features: An Empirical Study of Projects That (Mis)Use Travis CI. IEEE Transactions on Software Engineering. 10.1109/TSE.2018.2838131, 46:1, (33-50)",https://ieeexplore-ieee-org.proxy.bnl.lu/document/8360943/
4,"Debroy V and Miller S. Overcoming Challenges With Continuous Integration and Deployment Pipelines: An Experience Report From a Small Company. IEEE Software. 10.1109/MS.2019.2947004, 37:3, (21-29)",https://ieeexplore-ieee-org.proxy.bnl.lu/document/8866741/
5,"Cassee N, Vasilescu B and Serebrenik A. 2020. The Silent Helper: The Impact of Continuous Integration on Code Reviews 2020 IEEE 27th International Conference on Software Analysis, Evolution and Reengineering (SANER). 10.1109/SANER48275.2020.9054818. 978-1-7281-5143-4, (423-434)",https://ieeexplore-ieee-org.proxy.bnl.lu/document/9054818/
6,"Durieux T, Le Goues C, Hilton M and Abreu R. Empirical Study of Restarted and Flaky Builds on Travis CI Proceedings of the 17th International Conference on Mining Software Repositories, (254-264)",https://doi-org.proxy.bnl.lu/10.1145/3379597.3387460
7,"Brandt C, Panichella A, Zaidman A and Beller M. LogChunks Proceedings of the 17th International Conference on Mining Software Repositories, (583-587)",https://doi-org.proxy.bnl.lu/10.1145/3379597.3387485
8,"Henkel J, Bird C, Lahiri S and Reps T. Learning from, understanding, and supporting DevOps artifacts for docker Proceedings of the ACM/IEEE 42nd International Conference on Software Engineering, (38-49)",https://doi-org.proxy.bnl.lu/10.1145/3377811.3380406
9,"Tan X, Zhou M and Fitzgerald B. Scaling open source communities Proceedings of the ACM/IEEE 42nd International Conference on Software Engineering, (1222-1234)",https://doi-org.proxy.bnl.lu/10.1145/3377811.3380920
10,"Jin X and Servant F. A cost-efficient approach to building in continuous integration Proceedings of the ACM/IEEE 42nd International Conference on Software Engineering, (13-25)",https://doi-org.proxy.bnl.lu/10.1145/3377811.3380437
11,"Ziftci C and Cavalcanti D. 2020. De-Flake Your Tests : Automatically Locating Root Causes of Flaky Tests in Code At Google 2020 IEEE International Conference on Software Maintenance and Evolution (ICSME). 10.1109/ICSME46990.2020.00083. 978-1-7281-5619-4, (736-745)",https://ieeexplore-ieee-org.proxy.bnl.lu/document/9240685/
12,"Siegmund N, Ruckel N and Siegmund J. Dimensions of software configuration: on the configuration context in modern software development Proceedings of the 28th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering, (338-349)",https://doi-org.proxy.bnl.lu/10.1145/3368089.3409675
13,"Laaber C, Würsten S, Gall H and Leitner P. Dynamically reconfiguring software microbenchmarks: reducing execution time without sacrificing result quality Proceedings of the 28th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering, (989-1001)",https://doi-org.proxy.bnl.lu/10.1145/3368089.3409683
14,"Vassallo C, Proksch S, Jancso A, Gall H and Di Penta M. Configuration smells in continuous delivery pipelines: a linter and a six-month study on GitLab Proceedings of the 28th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering, (327-337)",https://doi-org.proxy.bnl.lu/10.1145/3368089.3409709
15,"Lin J, Salehnamadi N and Malek S. Test automation in open-source Android apps Proceedings of the 35th IEEE/ACM International Conference on Automated Software Engineering, (1078-1089)",https://doi-org.proxy.bnl.lu/10.1145/3324884.3416623
16,"Chen B, Chen L, Zhang C and Peng X. BuildFast Proceedings of the 35th IEEE/ACM International Conference on Automated Software Engineering, (42-53)",https://doi-org.proxy.bnl.lu/10.1145/3324884.3416616
17,"Lam W, Oei R, Shi A, Marinov D and Xie T. 2019. iDFlakies: A Framework for Detecting and Partially Classifying Flaky Tests 2019 12th IEEE Conference on Software Testing, Validation and Verification (ICST). 10.1109/ICST.2019.00038. 978-1-7281-1736-2, (312-322)",https://ieeexplore-ieee-org.proxy.bnl.lu/document/8730188/
18,"Kanter G and Vain J. 2019. TestIt: an Open-Source Scalable Long-Term Autonomy Testing Toolkit for ROS 2019 10th International Conference on Dependable Systems, Services and Technologies (DESSERT). 10.1109/DESSERT.2019.8770011. 978-1-7281-1733-1, (45-50)",https://ieeexplore-ieee-org.proxy.bnl.lu/document/8770011/
19,"Tegeler T, Gossen F and Steffen B. 2019. A Model-driven Approach to Continuous Practices for Modern Cloud-based Web Applications 2019 9th International Conference on Cloud Computing, Data Science & Engineering (Confluence). 10.1109/CONFLUENCE.2019.8776962. 978-1-5386-5933-5, (1-6)",https://ieeexplore-ieee-org.proxy.bnl.lu/document/8776962/
